node	degree
55335	1
36	37
2037	20
127829	2
51647	3
5077	25
80823	1
26164	2
2013	1
610	8
84687	33
4179	17
5877	15
786	1
1761	1
54918	7
4898	8
642	16
905	4
8243	53
4129	47
348303	5
22818	5
29966	37
26085	3
2187	14
3800	16
2941	6
83795	1
54940	2
9139	24
283629	3
83473	1
387856	8
30968	63
2671	11
128869	4
217	53
788	2
170482	2
6865	4
9191	29
10912	52
9284	1
1741	57
2523	6
147664	1
4601	16
28978	3
9801	80
7177	4
85445	6
915	9
9541	11
378708	26
51548	10
1469	2
55785	2
3081	4
153657	5
124402	2
6751	4
7421	84
3066	204
161829	1
92797	3
89797	10
340273	1
26167	1
4867	17
23037	5
58477	22
83744	1
204851	11
113829	1
55339	15
90355	5
4256	1
7799	5
57096	22
11201	19
10908	2
23769	1
55352	27
10467	23
55572	1
8546	35
63893	30
1849	5
919	36
892	80
256646	22
23511	5
1120	4
92104	1
5496	143
10131	47
8664	92
283078	5
196883	25
8050	18
23530	1
6626	182
6188	257
6618	5
4817	3
646	2
10771	17
53944	10
57667	1
142	134
1437	14
116092	4
3082	17
6699	3
59339	3
6477	121
1504	5
83747	8
3978	35
23197	33
91147	1
162967	2
54434	13
137872	22
10036	69
392510	1
7203	47
57586	3
317762	1
9332	5
5339	28
723790	1
51301	4
64689	16
4831	83
134728	3
81846	2
5098	1
10209	5
116211	1
1740	45
347734	1
9987	24
9353	8
389834	2
10320	87
92806	2
1500	38
100131816	11
221656	1
653394	1
7991	18
361	10
57292	2
56926	6
2195	4
27289	12
2847	4
6283	4
58510	9
6605	100
7015	42
55246	3
8404	8
9536	11
54814	6
27154	15
29844	30
66037	10
58157	12
169966	5
387332	1
79637	21
4901	3
112858	9
339487	1
90627	23
3101	22
7375	31
808	102
51602	106
3429	2
5734	12
2770	59
30851	8
8531	18
10591	3
29927	15
92565	1
7846	231
5966	253
57522	6
83755	111
26297	2
7514	76
3265	80
6017	3
7733	3
91408	2
2193	7
867	124
9053	4
5223	23
340706	3
10921	212
85280	29
7123	17
26580	7
883	7
966	14
6248	1
64848	1
7095	4
123283	3
259266	7
1586	23
4883	5
23522	13
79800	3
6009	20
51203	1
1716	2
7110	10
257160	2
51072	11
5345	17
6416	43
64499	4
8692	5
7080	24
53981	42
3508	2
441155	1
257068	37
80306	73
729408	1
56955	8
23189	1
6451	2
78996	1
147841	8
2638	16
1455	7
7589	11
64386	2
27257	27
112970	1
7084	9
6712	15
8900	65
24148	174
4121	4
3061	3
2547	128
114882	2
27133	2
51074	21
23649	56
6636	135
225689	9
53919	1
643314	1
9517	4
29994	9
2804	20
124220	6
54107	25
9444	29
1019	119
86614	7
57571	1
694	11
11338	276
54954	3
4547	4
26355	3
4857	5
1438	12
5612	8
22987	1
4190	12
9253	11
8263	2
8661	58
25962	163
2235	6
860	40
6928	8
5568	152
10518	1
11172	1
79734	12
969	3
92283	1
22863	5
5700	65
7424	6
170712	15
10002	27
57489	4
55132	2
286343	1
79646	1
9477	34
7270	6
54407	1
3965	3
9684	2
4843	14
80204	17
8785	3
3609	201
140690	1
5137	19
5564	165
7555	43
440603	3
862	57
83937	7
5631	15
25844	8
6728	7
5021	7
3320	245
55871	4
23552	2
3481	22
23347	1
115290	3
3062	2
8403	1
57530	9
8036	6
5264	20
23310	7
10290	1
56901	15
1143	5
388646	12
246330	7
254251	1
1652	5
3236	6
5158	21
7360	7
8612	4
91	22
23513	17
57678	10
100130892	1
92815	6
55833	1
10924	3
65109	30
55805	7
51650	80
5586	20
79923	2
1088	2
54960	15
152559	1
25776	8
56475	8
11193	41
54576	23
4200	7
4897	9
90060	17
65268	6
26298	2
25758	2
60492	29
94101	2
840	51
1445	60
8541	16
1186	2
128977	5
23355	1
2	74
8666	30
3998	6
51512	3
3360	16
9694	9
9263	3
55211	16
11054	2
9086	3
5498	6
22909	13
1138	1
55178	13
84864	3
6119	46
729238	4
51585	12
598	87
2944	5
347918	2
55668	20
54971	80
57143	1
11215	10
5611	9
128434	1
5468	74
7923	25
84103	6
318	1
6817	14
26190	5
5793	28
5825	17
8099	13
93661	2
1967	23
64776	1
57118	5
5646	5
1452	68
7069	2
84317	4
141	2
55199	2
283229	1
5955	16
64240	4
10425	43
23545	1
23595	16
341359	2
27349	4
284656	4
84056	9
5028	3
79856	1
4818	3
9697	7
7942	3
2691	1
7174	5
54677	3
5434	60
5089	27
139105	1
378465	2
6348	13
4267	9
10815	9
7115	2
3425	6
7596	1
50506	1
25975	2
8476	11
9656	33
478	45
26092	4
96764	6
796	10
94104	130
154796	46
1993	8
2512	28
10274	24
79020	22
9968	51
124056	1
83746	20
94115	2
11255	1
130013	2
3695	25
115817	7
25940	2
1999	48
9306	14
135154	1
8688	2
10165	62
169792	1
9478	11
825	11
929	10
7335	33
51187	5
54861	4
84859	4
222229	1
3751	13
55906	7
84125	1
54883	2
54737	2
116113	6
23254	3
6396	23
8315	11
5577	34
5238	16
10844	9
10656	27
5244	1
4018	9
10254	37
146894	2
64061	8
51172	5
115704	2
388633	15
54438	9
8622	19
8754	15
79901	2
65986	5
3164	94
1399	60
26100	14
25820	5
9898	10
200316	2
23065	6
199223	3
11190	12
23413	9
440321	16
125	24
8844	10
57418	109
2026	27
100132979	3
163732	11
154810	9
10193	21
80762	2
84312	20
3921	143
79735	14
3996	11
3036	4
9218	19
221692	3
7098	16
947	6
10802	3
4076	25
713	7
9112	58
4793	93
23759	131
9759	110
146225	1
6383	38
53834	1
84223	1
56997	7
6170	122
7358	6
84306	1
54577	1
1340	16
8487	149
79802	1
4994	1
65997	1
57223	3
3792	6
196477	7
2776	53
55184	2
84665	9
1134	4
9852	18
976	2
133957	1
219736	1
528	4
29886	5
90589	5
6588	7
4713	53
5587	54
201798	1
6338	14
84807	4
727	11
10998	1
2134	1
2734	17
401507	2
10519	21
6049	2
4654	84
126868	8
87178	2
54440	10
130557	4
5702	65
26578	19
57169	4
116328	4
27069	1
29097	5
54206	6
286053	4
51126	3
9757	36
9060	3
3676	32
85453	1
55839	13
23566	1
5743	22
10537	4
10200	25
689	15
6389	12
6713	3
23397	10
8718	11
64395	63
6103	13
200186	12
5083	11
3028	19
64094	1
6300	65
54828	4
6863	12
1398	187
6992	2
84725	2
551	7
54541	8
51230	24
4286	27
93624	1
6820	10
9124	17
1158	10
404550	2
1441	24
4528	27
53615	69
84167	1
1429	3
55149	2
5271	7
9993	1
27291	1
25873	138
158046	1
599	14
23095	21
4644	17
5224	15
9260	26
54502	2
6000	15
4583	10
51322	12
11128	8
7259	4
118932	1
9212	53
26046	3
3148	24
10276	4
55699	2
10019	12
50848	18
3396	4
5891	6
84231	12
1207	64
155	6
51535	17
4194	40
11025	1
6314	46
340390	1
51166	3
9738	12
63876	2
7010	27
55017	1
5790	3
9919	12
4914	53
30000	17
23753	2
55765	1
8517	346
2005	10
2641	8
8161	73
3575	12
47	21
51411	1
28912	1
2670	67
10806	2
7138	67
7472	4
563	5
54825	1
2529	1
5992	6
23112	9
197257	19
6157	223
89795	1
5322	2
10444	4
2186	7
85021	13
400745	1
6275	29
23071	9
84572	1
6262	27
10857	22
2581	4
8448	3
1806	8
167227	25
874	5
6827	12
9997	2
51702	6
84976	2
3077	7
56649	4
25979	2
83932	2
1378	11
4701	56
22884	3
5045	35
1347	15
84536	3
406921	1
6234	94
8200	8
8751	41
388272	1
4536	60
10159	3
51076	14
170589	1
6687	24
51807	7
3655	28
5533	4
8798	1
90861	7
3730	1
2038	16
378108	3
10627	23
22803	27
24139	5
171023	4
8793	47
85407	4
8799	1
8241	109
342945	7
51046	1
2798	10
97	9
5539	1
140707	2
1371	1
9187	8
169522	3
79710	1
1208	3
151449	1
53335	7
10999	2
23201	24
80208	2
8997	14
3713	14
8082	5
11130	13
57135	5
7432	13
27134	6
2559	7
55825	1
170850	5
440295	1
8899	168
1118	3
4725	57
10966	1
89781	2
11274	7
50818	4
2255	2
117854	5
55041	13
3015	25
160	41
201176	3
23295	12
255928	5
22806	84
80010	19
656	5
54437	7
6520	22
9701	7
64207	2
3171	4
6557	3
5690	53
84262	1
4128	45
4250	2
55006	2
84085	5
8396	10
55183	119
353116	1
6539	2
9498	4
2029	8
10236	112
339448	6
526	1
79228	129
9064	9
3786	8
10608	6
162333	4
116238	1
10486	11
132158	12
150472	4
84861	6
27316	125
4829	1
65267	1
8559	129
8204	52
84298	2
5007	2
51125	1
2122	11
5738	5
8499	18
1008	6
84912	1
79595	27
9975	15
5601	128
4439	1
114823	32
257364	7
477	1
54487	27
159686	1
54469	5
55224	6
3597	6
81544	5
2251	4
55819	13
9318	36
313	1
706	4
9227	5
2066	44
4057	15
9755	4
6279	35
6749	204
134637	1
151648	10
8270	5
63898	43
8318	20
79039	6
4294	43
3977	23
5269	6
9891	41
79873	34
22890	12
2963	70
7466	5
64743	1
22882	10
27005	25
64761	3
5428	4
2145	2
126070	13
8972	9
7481	3
4665	33
23019	14
54575	24
5366	9
92840	30
8999	1
337879	5
81611	3
11056	4
635	11
342371	48
9726	6
1007	8
147007	2
92482	1
81610	3
91807	1
5142	28
9092	165
57798	1
128209	1
81693	1
10371	2
1666	1
51366	31
23275	1
112812	2
203569	1
55293	28
200081	52
357	6
22870	7
5407	9
84131	1
399665	3
277	4
7290	23
1161	20
9764	3
56652	4
192670	75
123920	7
844	1
10168	7
64783	136
374355	10
55164	3
84727	1
5744	11
8733	10
381	7
3045	6
23022	6
54545	1
4627	60
4694	59
7266	17
27434	4
57099	5
5480	10
7511	7
7292	2
4779	14
373156	97
54882	30
23291	59
8969	6
8859	8
8898	4
1329	29
